"clust","lat","lon","total","male","female","white","black","medage","avgage","minors","wmonth","wmpct","bmonth","bmpct","wday","wdpct","bday","bdpct","yr1","yr1_tot","yr2","yr2_tot","yr3","yr3_tot"
"1","46.2309875078206","-121.648138367674","959","39.1","60.9","83.7","5.4","32","34","15.5","July","10.7","February","5.6","Friday","15.7","Tuesday","12.4","2014","50","2015","50","2013","33"
"2","38.3906226431965","-76.9770493691145","463","49.5","50.5","60.7","30.7","31","33","19.9","March","11.4","January","6.5","Monday","19","Friday","12.5","2010","23","2015","23","2003","21"
"4","41.125216343956","-88.5584328261904","546","47.3","52.7","68.3","25.3","30","33","17.8","July","11.7","February","5.7","Thursday","15.8","Saturday","13.4","2015","29","2011","24","1996","21"
"5","27.3536443462943","-81.0130211879699","931","46.4","53.6","73.6","18.6","31","34","20.6","January","10","March","5.9","Friday","15.3","Wednesday","12","2013","53","2015","45","2007","43"
"6","30.5346180953694","-97.0516238608259","799","45.2","54.8","69.2","13.5","29","32","17.3","August","10.8","February","5.1","Friday","16","Wednesday","12.3","2015","53","2013","43","2011","41"
"7","34.2925305185118","-117.476314437289","1129","42.5","57.5","61.9","8","27","30","27.8","July","11.4","September","5.8","Monday","17.9","Saturday","12","2014","67","2013","60","2015","56"
"8","34.9958042424471","-86.0029760092145","662","48.5","51.5","68.9","24.2","32","34","16.6","December","10","February","5.6","Friday","17.7","Tuesday","11.5","2006","38","2015","37","2004","33"
"9","40.8455753160172","-107.358457128571","462","40.9","59.1","82.5","3.7","29","32","20.8","August","11.5","December","3.7","Friday","19.3","Thursday","11.3","2013","25","2015","23","2005","21"
"10","30.8007487955883","-89.9732061697059","340","44.4","55.6","64.7","29.4","30","34","12.4","January","10.9","October","3.5","Saturday","18.2","Tuesday","11.8","2006","19","1998","16","2012","16"
"11","37.6126067335766","-123.283890754745","685","41.2","58.8","74","7.3","29","32","19.3","July","10.1","November","7.4","Saturday","15.8","Wednesday","12.6","2011","35","2013","23","2005","22"
"12","42.4897289162907","-72.1854339606517","399","42.9","57.1","83.7","7.3","29","32","22.8","August","13.3","January","5.5","Sunday","18.5","Thursday","12.8","2011","32","2015","20","2004","16"
"13","42.1905880044945","-84.0587853707863","623","45.7","54.3","60.8","34.2","30","32","21.7","May","11.1","April","6.7","Thursday","18.8","Wednesday","10","2013","50","2015","49","2014","36"
"14","32.6944093007085","-110.954669289847","847","26.4","73.6","39.3","2.7","31","33","8.6","July","14.5","December","6","Sunday","14.8","Tuesday","13.5","2010","92","2011","90","2009","84"
"15","44.266544688923","-94.4703367163078","325","39.4","60.6","85.8","4","31","34","15.7","October","10.5","February","6.5","Friday","17.5","Sunday","12","2014","15","2012","12","2005","11"
"16","34.8467991357143","-80.5841047783673","490","43.7","56.3","62.4","31.2","32","33","15.3","March","12.2","June","6.9","Friday","18","Sunday","11.6","2011","25","2009","24","2002","22"
"17","36.4915497549153","-94.7677475332203","590","49.7","50.3","77.6","13.4","30","32","18.1","July","11.5","February","5.9","Friday","17.6","Saturday","10.5","2015","36","2012","30","2013","29"
"18","57.6790930717257","-137.922155314378","626","31.5","68.5","72","6.1","33","36","11.3","June","11","February","4.8","Monday","16.3","Thursday","12.1","2011","38","2009","31","2008","27"
"19","40.7109346931818","-80.9267907143939","396","49","51","76","19.7","30.5","34","14.9","June","11.4","February","5.8","Thursday","19.4","Sunday","11.6","2006","24","2013","22","2014","22"
"20","40.8803433539629","-74.6657746580417","858","44.9","55.1","66.6","22.5","30","32","20.4","October","9.8","June","7.1","Friday","16.6","Monday","12.4","2013","57","2014","40","2015","39"
